[8, 9, 88, 1]
[17, 18, 160, 1]
[17, 18, 193, 1]
[17, 18, 183, 1]
[53, 54, 235, 2]
[53, 54, 193, 1]
[53, 54, 223, 2]
[71, 72, 181, 1]
[71, 72, 194, 2]
[71, 72, 241, 1]
[73, 74, 217, 1]
[73, 74, 205, 2]
[73, 74, 380, 1]
[89, 90, 213, 2]
[89, 90, 241, 2]
[89, 90, 221, 2]
[107, 108, 259, 1]
[107, 108, 272, 2]
[107, 108, 315, 4]
[109, 110, 310, 2]
[109, 110, 298, 2]
[109, 110, 275, 2]
[125, 126, 171, 2]
[127, 128, 259, 3]
[127, 128, 318, 2]
[127, 128, 234, 2]
[163, 164, 426, 4]
[163, 164, 300, 2]
[163, 164, 303, 4]
[179, 180, 289, 3]
[179, 180, 323, 3]
[179, 180, 318, 3]
[181, 182, 339, 4]
[181, 182, 326, 4]
[181, 182, 327, 6]
[197, 198, 324, 3]
[197, 198, 306, 3]
[197, 198, 361, 3]
[199, 200, 429, 3]
[199, 200, 299, 3]
[199, 200, 287, 6]
[233, 234, 332, 4]
[233, 234, 264, 4]
[233, 234, 339, 4]
[251, 252, 321, 4]
[251, 252, 494, 4]
[251, 252, 447, 4]
[269, 270, 459, 4]
[269, 270, 379, 5]
[269, 270, 399, 5]
[271, 272, 415, 5]
[271, 272, 414, 4]
[271, 272, 430, 4]
[307, 308, 433, 4]
[307, 308, 423, 5]
[307, 308, 758, 5]
[343, 344, 742, 5]
[359, 360, 439, 6]
[359, 360, 674, 6]
[359, 360, 653, 6]
[379, 380, 595, 6]
[379, 380, 560, 6]
[379, 380, 513, 6]
[397, 398, 595, 11]
[397, 398, 572, 6]
[397, 398, 618, 7]
[431, 432, 670, 7]
[431, 432, 668, 8]
[431, 432, 954, 7]
[433, 434, 677, 7]
[433, 434, 987, 6]
[433, 434, 1013, 7]
[449, 450, 649, 7]
[449, 450, 690, 7]
[449, 450, 879, 6]
[467, 468, 477, 8]
[467, 468, 726, 8]
[467, 468, 666, 13]
[487, 488, 956, 8]
[487, 488, 788, 8]
[487, 488, 667, 8]
[503, 504, 679, 8]
[503, 504, 928, 9]
[503, 504, 859, 9]
[521, 522, 871, 16]
[521, 522, 881, 9]
[521, 522, 1060, 9]
[523, 524, 826, 8]
[523, 524, 815, 9]
[523, 524, 691, 9]
[541, 542, 1076, 8]
[541, 542, 892, 9]
[541, 542, 879, 9]
[557, 558, 974, 9]
[557, 558, 824, 9]
[557, 558, 1705, 9]
[577, 578, 773, 10]
[577, 578, 869, 18]
[577, 578, 831, 9]
[593, 594, 1113, 10]
[593, 594, 1331, 13]
[593, 594, 969, 10]
[613, 614, 1396, 12]
[613, 614, 885, 12]
[613, 614, 2820, 11]
[631, 632, 967, 10]
[631, 632, 1003, 11]
[631, 632, 849, 11]
[647, 648, 903, 10]
[647, 648, 951, 12]
[647, 648, 1009, 11]
[683, 684, 1016, 12]
[683, 684, 771, 12]
[683, 684, 1123, 12]
[701, 702, 1009, 12]
[701, 702, 1199, 14]
[701, 702, 1768, 12]
[719, 720, 2137, 12]
[719, 720, 1024, 12]
[719, 720, 1099, 12]
[739, 740, 1192, 13]
[739, 740, 1434, 12]
[739, 740, 1298, 13]
[757, 758, 1054, 24]
[757, 758, 1224, 13]
[757, 758, 1559, 13]
[773, 774, 1311, 15]
[773, 774, 1075, 13]
[773, 774, 1277, 14]
[809, 810, 1419, 15]
[809, 810, 1650, 14]
[809, 810, 1256, 14]
[811, 812, 2646, 14]
[811, 812, 1434, 14]
[811, 812, 1583, 17]
[827, 828, 1485, 15]
[827, 828, 1764, 14]
[827, 828, 1369, 14]
[829, 830, 2040, 15]
[829, 830, 1509, 17]
[829, 830, 1186, 15]
[863, 864, 1510, 16]
[863, 864, 1651, 15]
[863, 864, 1701, 19]
[881, 882, 1359, 15]
[881, 882, 1611, 17]
[881, 882, 1568, 18]
[883, 884, 1449, 29]
[883, 884, 1843, 17]
[883, 884, 1537, 16]
[919, 920, 3107, 16]
[919, 920, 1761, 17]
[919, 920, 1438, 16]
[937, 938, 2776, 17]
[937, 938, 1839, 18]
[937, 938, 1717, 18]
[953, 954, 1678, 20]
[953, 954, 2007, 18]
[953, 954, 1621, 20]
[971, 972, 2133, 19]
[971, 972, 1748, 18]
[971, 972, 1751, 19]
[991, 992, 1646, 19]
[991, 992, 1987, 18]
[991, 992, 1728, 19]
[1009, 1010, 2104, 23]
[1153, 1154, 2296, 23]
[1279, 1280, 2647, 24]
[1511, 1512, 3474, 31]
[1637, 1638, 3614, 35]
[1889, 1890, 6113, 40]
[2141, 2142, 6014, 41]
[2341, 2342, 6368, 55]
[2593, 2594, 11158, 53]
[2897, 2898, 11112, 66]
[3259, 3260, 9942, 77]
[3671, 3672, 16647, 86]
[4139, 4140, 17265, 129]
[4519, 4520, 21693, 143]
[5059, 5060, 26796, 148]
[5741, 5742, 33885, 188]
[6337, 6338, 36882, 217]
[7109, 7110, 43264, 260]
[7901, 7902, 49178, 300]
[8819, 8820, 65071, 327]
[9901, 9902, 87955, 415]
